year,precip,et,pet,site,aridity_index,evaporation_ratio
2014,2442,1163.3506014855823,1622.7836246320105,AU-Rob,0.6645305588173671,0.4763925477008936
2015,2442,998.6487411279984,1637.19205627546,AU-Rob,0.6704308174756183,0.40894706843898376
2016,2442,1139.970922134312,1780.2946434699045,AU-Rob,0.7290313855323114,0.46681855943256023
2017,2442,1384.726857324867,1700.1053245319188,AU-Rob,0.6961938265896473,0.5670462151207482
2016,2442,167.5789105040341,300.3265593058069,FI-Var,0.12298384901957694,0.06862363247503443
2017,2442,149.36697235051557,276.29964621190845,FI-Var,0.11314481826859478,0.06116583634337247
2018,2442,189.69320416043084,351.00830978035015,FI-Var,0.14373804659309997,0.0776794447831412
2019,2442,128.87625007299124,300.2899965758285,FI-Var,0.12296887656667835,0.052774877179767095
2020,2442,172.61771190951288,175.67168311700934,FI-Var,0.0719376261740415,0.07068702371396923
2001,2442,192.28175359464666,153.4494977919068,SE-Deg,0.06283763218341802,0.07873945683646465
2002,2442,295.3234463472531,275.5365431300017,SE-Deg,0.11283232724406293,0.12093507221427235
2003,2442,277.14516089179534,237.36720349030745,SE-Deg,0.09720196703124794,0.11349105687624707
2004,2442,190.33226881993104,204.70193789766202,SE-Deg,0.08382552739461999,0.07794114202290378
2005,2442,200.65842352592392,270.95962788836226,SE-Deg,0.11095807857836293,0.08216970660357245
2006,2442,282.4674501271681,264.06680839577007,SE-Deg,0.10813546617353402,0.11567053649761183
2007,2442,335.25772010334543,24.534073777679843,SE-Deg,0.010046713258673155,0.13728817367049362
2008,2442,341.39336784329623,257.01483563450336,SE-Deg,0.10524768044000957,0.13980072393255374
2009,2442,283.1613343733611,307.3315373599834,SE-Deg,0.12585239040130358,0.11595468238057376
2010,2442,308.7899049044023,294.10212459400475,SE-Deg,0.1204349404561854,0.12644959250794524
2011,2442,423.20089510955233,284.92312147900503,SE-Deg,0.11667613492178748,0.17330093984830153
2012,2442,364.2753050878529,235.3967850031771,SE-Deg,0.09639507985388088,0.14917088660436237
2013,2442,251.0133588869381,319.0819068678918,SE-Deg,0.13066417152657323,0.1027900732542744
2014,2442,252.80788547532282,461.86023116429396,SE-Deg,0.18913195379373218,0.10352493262707732
2015,2442,188.89963097818492,358.87441124911425,SE-Deg,0.14695921836573064,0.07735447624004296
2016,2442,208.18183887936252,392.75240329162494,SE-Deg,0.1608322699801904,0.08525054827164723
2017,2442,246.85989689258292,371.4560738074703,SE-Deg,0.15211141433557343,0.10108922886674157
2018,2442,295.40481920317967,395.34280727923107,SE-Deg,0.16189304147388658,0.1209683944320965
2019,2442,212.8012763297292,382.37194359932516,SE-Deg,0.15658146748539115,0.08714220979923391
2020,2442,187.70379030205538,363.84786237976687,SE-Deg,0.14899584864036317,0.07686477899347068
2014,2442,316.19156776210116,558.0988817531429,SE-Svb,0.22854172061963263,0.1294805764791569
2015,2442,275.0793599820635,439.34042138746474,SE-Svb,0.17991008246824927,0.11264511055776558
2016,2442,336.6839349327496,500.97745762954065,SE-Svb,0.20515047404977094,0.1378722092271702
2017,2442,0,483.40738683526683,SE-Svb,0.19795552286456464,0
2018,2442,306.31929885079177,538.4113098591862,SE-Svb,0.22047965186698862,0.12543787831727754
2019,2442,264.86539949611057,502.70538753646963,SE-Svb,0.20585806205424637,0.10846248955614683
2020,2442,260.8972001790606,490.33920842624946,SE-Svb,0.2007941066446558,0.10683751031083562
2004,2442,347.9154808037065,685.3345785412156,US-Wkg,0.28064479055741837,0.14247153186064968
2005,2442,191.32700571545996,795.640880525328,US-Wkg,0.3258152663903882,0.07834848718896804
2006,2442,203.8806855966407,797.9199445364374,US-Wkg,0.3267485440362151,0.0834892242410486
2007,2442,276.5466860027169,847.0209482889677,US-Wkg,0.3468554251797574,0.11324598116409373
2008,2442,264.6903737577504,923.7157633537171,US-Wkg,0.3782619833553305,0.10839081644461525
2009,2442,225.605264686897,941.9401604455759,US-Wkg,0.38572488142734473,0.09238544827473259
